Format Version,1.23,Take Name,Alza_001,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2022-12-02 12.25.22.852 PM,Capture Start Frame,2634524,Total Frames in Take,10514,Total Exported Frames,10514,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Cup:Marker1,Cup:Marker1,Cup:Marker1,Cup:Marker2,Cup:Marker2,Cup:Marker2,Cup:Marker3,Cup:Marker3,Cup:Marker3,Cup:Marker4,Cup:Marker4,Cup:Marker4,Cup:Marker5,Cup:Marker5,Cup:Marker5,Cup:Marker6,Cup:Marker6,Cup:Marker6
,ID,"DDD70","DDD70","DDD70","DDD90","DDD90","DDD90","DDD60","DDD60","DDD60","DDD80","DDD80","DDD80","DE540","DE540","DE540","DDD50","DDD50","DDD50"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
61,0.169444,0.207317,0.139981,0.053133,0.138502,0.142850,0.053610,0.230556,0.139292,0.171810,0.142006,0.145178,0.179672,0.228639,0.136873,0.099326,0.243101,0.137757,0.131054
62,0.172222,,,,,,,,,,,,,,,,,,
63,0.175000,,,,,,,,,,,,,,,,,,
64,0.177778,0.207298,0.139977,0.053144,0.138555,0.142430,0.053375,0.230530,0.139294,0.171823,0.141997,0.145157,0.179664,0.228610,0.136874,0.099313,0.243089,0.137751,0.131055
65,0.180556,0.207302,0.139969,0.053145,0.138555,0.142414,0.053388,0.230544,0.139292,0.171809,0.141993,0.145156,0.179687,0.228654,0.136860,0.099329,0.243079,0.137758,0.131040
66,0.183333,,,,,,,,,,,,,,,,,,
67,0.186111,0.207294,0.139968,0.053151,0.138562,0.142421,0.053395,0.230547,0.139289,0.171810,0.141998,0.145155,0.179679,0.228652,0.136854,0.099322,0.243091,0.137752,0.131050
68,0.188889,0.207297,0.139971,0.053131,0.138561,0.142414,0.053402,0.230543,0.139299,0.171815,0.141998,0.145151,0.179678,0.228657,0.136860,0.099307,0.243080,0.137760,0.131045
69,0.191667,,,,,,,,,,,,,,,,,,
70,0.194444,0.207289,0.139979,0.053160,0.138555,0.142403,0.053395,0.230531,0.139282,0.171803,0.141996,0.145151,0.179688,0.228653,0.136857,0.099331,0.243097,0.137740,0.131040
71,0.197222,0.207294,0.139968,0.053147,0.138562,0.142419,0.053403,0.230514,0.139297,0.171813,0.141999,0.145148,0.179686,0.228689,0.136831,0.099315,0.243085,0.137765,0.131043
72,0.200000,,,,,,,,,,,,,,,,,,
73,0.202778,0.207298,0.139988,0.053145,0.138542,0.142422,0.053420,0.230539,0.139305,0.171814,0.141994,0.145150,0.179693,0.228670,0.136847,0.099332,0.243081,0.137772,0.131048
74,0.205556,0.206433,0.137619,0.052984,0.138546,0.142422,0.053416,0.230543,0.139309,0.171806,0.141999,0.145153,0.179698,0.228661,0.136858,0.099330,0.243084,0.137763,0.131044
75,0.208333,,,,,,,,,,,,,,,,,,
76,0.211111,0.206435,0.137630,0.052988,0.138574,0.142411,0.053416,0.230542,0.139314,0.171801,0.141999,0.145153,0.179704,0.228632,0.136883,0.099344,0.243085,0.137768,0.131057
77,0.213889,0.206444,0.137641,0.052996,0.138559,0.142439,0.053419,0.230525,0.139298,0.171802,0.141993,0.145154,0.179695,0.228625,0.136893,0.099335,0.243088,0.137767,0.131059
78,0.216667,,,,,,,,,,,,,,,,,,
